DW_TEMPO;invoice_date;_year;_month;_quarter
3eeca3a54979b72b74d5c93597cb1c2c6103207603669efc92186a07cf578181;2018-12-03;2018;12;4
3bc9ca49d1f9fe3e381e94e6f5c31a3abd1bb60fabf81f8e03952e0dc54de7ff;2017-05-10;2017;5;2
ce81486bb7d46a61cae2a056f92a57daffcdc52370fcefc4a83f747d8759550a;2017-11-18;2017;11;4
b70cdb8f0c355ad8b51715a43ea58e8e785a415b047fbe8c4b949cd562b45036;2018-06-10;2018;6;2
c8b529e50583303256546a0cffe10c146f1f01454e879a9a168483c5f11f51a9;2018-10-13;2018;10;4
06eef3f0f4cae9319aea582a2dbfb7c6665066c7cd42b18ec0ce7e9c7e5fe4bd;2017-08-31;2017;8;3
5965d65fe9bd3f150d525a0f0ab789e60cc2d50b39f83713f08448eedba02d89;2018-04-29;2018;4;2
101b31dc8cc5d536ad4f4953570035ebe7c391348e0f94f5d25c8dfae32e4958;2018-06-18;2018;6;2
c46f4fab5b00d16d4fd6e7eadc7a4ecf743cd28651969100a5632fa505d42cbb;2017-09-29;2017;9;3
989735b125b2176de0892efade41ddc75c9681d3275741a9a0a4e2504ad255b2;2019-02-14;2019;2;1
b2c72db478e0b7fd3f95a42a571798ef4f6e43f6ab0f9718506917acfa40a06b;2018-03-27;2018;3;1
d3bd2bbc214b887bc7a4ea7e4d72bd47e50825cd645fad979d2d802732673dfb;2017-05-26;2017;5;2
4c9c0564d9016f7a2ab40b5c8350ed438541294f728520b4295a1c85174a0cfd;2017-07-06;2017;7;3
80b6f93d139ca2e6a96561c6f37bd5a09deea77c638d151cd46d0b2b2870c40d;2017-08-23;2017;8;3
18e3e56994e2eafd252084d74cff736c51aaf05cfb0dfb7bccde1925675d79a4;2019-02-12;2019;2;1
837299e3d7936c766735298e7c49c77b362b1a652f1d18d708b7a52dc49ee0e8;2017-08-05;2017;8;3
f393b4ebe5652315a57c26f0ce5727710d854ce61a43962dccd99160e1365d3e;2018-09-17;2018;9;3
9e2e1ade1e4d7c5212672f025e70d1013286bc34a3c3858181d22cb017161ad0;2018-12-19;2018;12;4
